CustomerID,Lookalikes
C0001,"[('C0020', 0.9999584003742296), ('C0009', 0.9999016162923787), ('C0004', 0.9998513637365519)]"
C0002,"[('C0013', 0.9999998808887707), ('C0015', 0.9999982123620901), ('C0018', 0.999998003051177)]"
C0003,"[('C0015', 0.9999999310607285), ('C0018', 0.9999998998549592), ('C0016', 0.9999994144549771)]"
C0004,"[('C0009', 0.9999812757641197), ('C0020', 0.9999622008964868), ('C0012', 0.9999396024328143)]"
C0005,"[('C0011', 0.9999993131714269), ('C0010', 0.9999988663651611), ('C0008', 0.9999981703715198)]"
C0006,"[('C0008', 0.9999999860583365), ('C0010', 0.9999997497400054), ('C0005', 0.9999978740428701)]"
C0007,"[('C0019', 0.999999866267121), ('C0017', 0.999999184528776), ('C0014', 0.9999972341650408)]"
C0008,"[('C0006', 0.9999999860583365), ('C0010', 0.9999998532757142), ('C0005', 0.9999981703715198)]"
C0009,"[('C0020', 0.9999869115380833), ('C0004', 0.9999812757641197), ('C0001', 0.9999016162923787)]"
C0010,"[('C0008', 0.9999998532757142), ('C0006', 0.9999997497400054), ('C0005', 0.9999988663651611)]"
C0011,"[('C0005', 0.9999993131714269), ('C0010', 0.9999988347029644), ('C0008', 0.9999978616278669)]"
C0012,"[('C0006', 0.999994742890112), ('C0008', 0.9999942175991119), ('C0010', 0.9999924177723571)]"
C0013,"[('C0002', 0.9999998808887707), ('C0015', 0.9999983929157762), ('C0018', 0.999998277317454)]"
C0014,"[('C0017', 0.9999993720739222), ('C0016', 0.9999992488099851), ('C0003', 0.9999978479053685)]"
C0015,"[('C0018', 0.9999999503464403), ('C0003', 0.9999999310607285), ('C0016', 0.9999990200176303)]"
C0016,"[('C0003', 0.9999994144549771), ('C0014', 0.9999992488099851), ('C0018', 0.9999991661924681)]"
C0017,"[('C0014', 0.9999993720739222), ('C0007', 0.999999184528776), ('C0019', 0.999998917262889)]"
C0018,"[('C0015', 0.9999999503464403), ('C0003', 0.9999998998549592), ('C0016', 0.9999991661924681)]"
C0019,"[('C0007', 0.999999866267121), ('C0017', 0.999998917262889), ('C0014', 0.999996900612989)]"
C0020,"[('C0009', 0.9999869115380833), ('C0004', 0.9999622008964868), ('C0001', 0.9999584003742296)]"
